image,ncnn_lpips,pytorch_lpips,delta
Alhambra_fine-arch.jpg,0.337913,0.334987,0.002926
Athens_Street.jpg,0.176106,0.171127,0.004979
Bison.jpg,0.372992,0.364977,0.008015
California_Wildflowers.jpg,0.361381,0.339858,0.021523
Cat_Eyes-hf-texture.jpg,0.293987,0.279231,0.014756
Death_Valley.jpg,0.263569,0.254933,0.008636
Deer.jpg,0.200561,0.194582,0.005979
Dubai_fine-arch.jpg,0.180542,0.177603,0.002939
Duomo_fine-arch.jpg,0.213074,0.210753,0.002321
Dutch_Street.jpg,0.222124,0.211054,0.011070
Fatehpur_Sikri.jpg,0.230909,0.224450,0.006459
Ferret.jpg,0.152599,0.147731,0.004868
Florence.jpg,0.147269,0.143681,0.003588
Forest_hf-texture.jpg,0.335790,0.325679,0.010111
Grain_hf-texture.jpg,0.221075,0.218844,0.002231
Gramercy_Park_noise.jpg,0.257129,0.253911,0.003218
Greek_Island_Town.jpg,0.269123,0.262015,0.007108
Grey_Heron.jpg,0.210581,0.195456,0.015125
Grizzly_Bear.jpg,0.289250,0.281680,0.007570
hawamahal_fine-arch.jpg,0.233858,0.230925,0.002933
Horses.jpg,0.315056,0.306495,0.008561
House_Finch.jpg,0.121975,0.107460,0.014515
Japan_Street_text.jpg,0.200920,0.193612,0.007308
Joshua_Tree.jpg,0.339771,0.343836,0.004065
lake_reflection.jpg,0.211351,0.205029,0.006322
Landscape_Grain.jpg,0.671160,0.702198,0.031038
landscape_night.jpg,0.290110,0.285888,0.004222
Landscape_Reflection.jpg,0.313240,0.284492,0.028748
landscape_sunrise.jpg,0.339628,0.336039,0.003589
Lizard.jpg,0.266642,0.258320,0.008322
Mexico_Street.jpg,0.231768,0.226493,0.005275
Montain_Landscape3.jpg,0.289157,0.276642,0.012515
mountain_reflection.jpg,0.199487,0.185797,0.013690
NewYork.jpg,0.270484,0.267766,0.002718
NewYork_night_noise.jpg,0.426118,0.419099,0.007019
NewYork_Street_Text.jpg,0.212619,0.205370,0.007249
Nice.jpg,0.211269,0.205325,0.005944
Notre_Dame_Fine-Arch.jpg,0.224376,0.221362,0.003014
Owl.jpg,0.231071,0.231457,0.000386
Paris_Street.jpg,0.292819,0.279575,0.013244
Parrot_hf-texture.jpg,0.334507,0.326913,0.007594
Provence_Street.jpg,0.255880,0.251747,0.004133
Red_Fox.jpg,0.165953,0.160821,0.005132
Sagrada_Familia.jpg,0.227242,0.222856,0.004386
SanFrancisco_Night.jpg,0.200517,0.189735,0.010782
Seattle2.jpg,0.134765,0.122137,0.012628
Seattle_Library.jpg,0.235440,0.230323,0.005117
Snake_hf-texture.jpg,0.193681,0.178876,0.014805
Street_Hindi_Text.jpg,0.260532,0.251551,0.008981
Street_noise_reflection.jpg,0.212634,0.207266,0.005368
Urban_night.jpg,0.331882,0.330073,0.001809
Urban_Night_Text.jpg,0.491886,0.491435,0.000451
Urban_Seagull_noise.jpg,0.432581,0.427614,0.004967
Urban_Text.jpg,0.158757,0.153733,0.005024
Water_reflection.jpg,0.150445,0.137764,0.012681
Wheat_Field_hf-texture.jpg,0.160766,0.160773,0.000007
Yellowstone_Canyon.jpg,0.304176,0.298988,0.005188
Yellowstone_Meadow.jpg,0.213427,0.209476,0.003951
Yosemite_Falls.jpg,0.320334,0.319058,0.001276
Yosemite_Valley.jpg,0.219145,0.221104,0.001959

# Mean delta: 0.007506
# Max delta: 0.031038 (Landscape_Grain.jpg)
# PASS: YES (threshold: 0.01)
